"72,Fuse-ODG-ft.-Danny-Ocean-Lazy-Day.mp3,unknown,fuse_odg_ft_danny_ocean_lazy_daymp3,bpm=127,key=F,scale=minor,energy=0.234648987651,happy=0.6166172081915,sad=0.54732076161438,aggressiveness=0.092961484773291,danceability=0.82139017681281,relaxed=0.49534191356765"
"73,Ella-Mai-Naked.mp3,dance pop,ella_mai_nakedmp3,bpm=89.5,key=D,scale=major,energy=0.114109024405,happy=0.5965474024415,sad=0.94016846269369,aggressiveness=0.0041836829768727,danceability=0.35493511753157,relaxed=0.84824146330357"
"74,Edwyn - Keblack - Tchop.mp3,uk drill,edwyn_keblack_tchopmp3,bpm=100,key=D#,scale=major,energy=0.193285658956,happy=0.51179718216978,sad=0.91569634278615,aggressiveness=0.015769050197883,danceability=0.70148506098323,relaxed=0.84270367357466"
"75,Modjo-Lady (Brekebaile) YOUTUBE V3.mp3,uk drill,modjo_lady_brekebaile_youtube_v3mp3,bpm=114,key=A#,scale=minor,energy=0.207119688392,happy=0.48858463929759,sad=0.25495894749959,aggressiveness=0.70734537641207,danceability=0.98551633622911,relaxed=0.43672586811913"
"76,EKANY  Secret Gems - Hold On.mp3,uk drill,ekany_secret_gems_hold_onmp3,bpm=109,key=C#,scale=minor,energy=0.211363583803,happy=0.64752809975471,sad=0.45535275526345,aggressiveness=0.35862325667404,danceability=0.97834389656782,relaxed=0.5255732871592"
"77,10 Over 10 (feat. Rotimi) - Ayo Jay (Boy Wonder).mp3,uk drill,10_over_10_feat_rotimi_ayo_jay_boy_wondermp3,bpm=103,key=G,scale=minor,energy=0.372907906771,happy=0.64885858870111,sad=0.89487811326981,aggressiveness=0.057520528696477,danceability=0.89713215231895,relaxed=0.53228751122952"
"78,bad_boy_xtended_version_98BPM_C#min.mp3,uk drill,bad_boy_xtended_version_98bpm_cminmp3,bpm=98,key=B,scale=minor,energy=0.380776196718,happy=0.53861422196496,sad=0.90374588469664,aggressiveness=0.080824003554881,danceability=0.98746789991856,relaxed=0.70760581394037"
"79,Dumebi (Jayceeoh & Henry Fong Remix) - heisrema.mp3,uk drill,dumebi_jayceeoh_henry_fong_remix_heisremamp3,bpm=105,key=A,scale=minor,energy=0.144145816565,happy=0.82546175188488,sad=0.38453687396314,aggressiveness=0.45865582498825,danceability=0.97974104351468,relaxed=0.43077302972476"
"80,ODO - Beatz By Eman.mp3,unknown,odo_beatz_by_emanmp3,bpm=99,key=G#,scale=major,energy=0.279887318611,happy=0.40402959873609,sad=0.97171202301979,aggressiveness=0.04092962865252,danceability=0.97519571334124,relaxed=0.56699487566948"
"81,Rema_-_Iron_Man.mp3,nigerian pop,rema_iron_manmp3,bpm=100,key=B,scale=minor,energy=0.123158425093,happy=0.60123097669243,sad=0.95635424719916,aggressiveness=0.016273696906865,danceability=0.93673351407051,relaxed=0.86325020922555"
